seed,variable,mean,q5,q95
20260702,growth_sd[1],3.4495258784,3.069262465,3.84469676
20260702,growth_sd[2],0.66186740734,0.5374002685,0.8091140395
20260702,occasion_sd,0.58214391539,0.3974269265,0.8051565955
20260702,slope_mean,-0.26016048374,-0.311643032,-0.208525154
20260702,slope_variance,0.44477461324,0.2887990475,0.654665534
20260703,growth_sd[1],4.5070979182,4.451649615,4.562518685
20260703,growth_sd[2],1.5563778526,1.50156194,1.615784555
20260703,occasion_sd,0.03654619305672,0.00176281311,0.1408417415
20260703,slope_mean,-0.2474027772,-0.2760877675,-0.219531671
20260703,slope_variance,2.4234468234,2.254688315,2.6107597
20260704,growth_sd[1],0.01656391663753,0.00271497956,0.0452373936
20260704,growth_sd[2],0.01338755769591,0.001610394885,0.0412898086
20260704,occasion_sd,4.200554,4.168811045,4.2319866
20260704,slope_mean,-0.16358505193,-0.183802717,-0.1430282805
20260704,slope_variance,0.000417089111048147,2.593452175e-06,0.00170484896
20260705,growth_sd[1],3.2238552397,3.19613225,3.252273375
20260705,growth_sd[2],0.93260580801,0.9109089715,0.953367925
20260705,occasion_sd,1.4395703232,1.39889317,1.478945395
20260705,slope_mean,-0.17037953389,-0.1972440975,-0.143861949
20260705,slope_variance,0.86993311827,0.8297551525,0.908910394
