parameter_type,original_item,predictor,source_vi,item_vi,mean_vi,q5_vi,q95_vi,credible_nonzero_90_vi,source_nuts,item_nuts,mean_nuts,q5_nuts,q95_nuts,credible_nonzero_90_nuts,same_direction,both_nonzero_90
loading,5,discrim_any,full-data VI,5,0.26907842085,0.1934044105,0.341270105,TRUE,subset NUTS,5,0.2084343512651,0.09068635695,0.320127525,TRUE,TRUE,TRUE
loading,3,discrim_any,full-data VI,3,0.3110011146465,0.1461692005,0.4751047715,TRUE,subset NUTS,3,0.1997168442434,0.1009926775,0.298302795,TRUE,TRUE,TRUE
loading,4,discrim_any,full-data VI,4,0.0847075740525,-0.16070781,0.3121878585,FALSE,subset NUTS,4,0.14290564016504,0.05610577835,0.2283907545,TRUE,TRUE,FALSE
loading,1,discrim_any,full-data VI,1,-0.1437858109904,-0.230179743,-0.0614970813,TRUE,subset NUTS,1,-0.106632914026189,-0.286295207,0.0652002232999999,FALSE,TRUE,FALSE
loading,8,discrim_any,full-data VI,8,0.1106935012371,-0.107417158,0.3263978645,FALSE,subset NUTS,8,0.0496077736276145,-0.07777024675,0.1783277735,FALSE,TRUE,FALSE
loading,7,discrim_any,full-data VI,7,0.05151955159425,-0.20936957,0.313301441,FALSE,subset NUTS,7,0.0365345138913155,-0.0979809644,0.162214214,FALSE,TRUE,FALSE
loading,2,discrim_any,full-data VI,2,-0.17436163191,-0.2481392235,-0.1043141205,TRUE,subset NUTS,2,-0.035304719031317,-0.20812651,0.1257192715,FALSE,TRUE,FALSE
loading,6,discrim_any,full-data VI,6,-0.28956466394,-0.380644313,-0.1974008035,TRUE,subset NUTS,6,0.03221851372448,-0.1571570175,0.2226211135,FALSE,FALSE,FALSE
threshold,2,discrim_any,full-data VI,2,-1.5137497259,-1.600104105,-1.42478251,TRUE,subset NUTS,2,-1.269616737695,-1.452348715,-1.080785605,TRUE,TRUE,TRUE
threshold,6,discrim_any,full-data VI,6,-1.2019406669,-1.279601655,-1.12460058,TRUE,subset NUTS,6,-0.905716957835,-1.0801402,-0.730198813,TRUE,TRUE,TRUE
threshold,1,discrim_any,full-data VI,1,-1.04360185151,-1.133794215,-0.9478839055,TRUE,subset NUTS,1,-0.869231384195,-1.05132838,-0.6890514525,TRUE,TRUE,TRUE
threshold,7,discrim_any,full-data VI,7,-0.791522263,-0.899683851,-0.6878396515,TRUE,subset NUTS,7,-0.5784866728305,-0.7935993545,-0.362612002,TRUE,TRUE,TRUE
threshold,8,discrim_any,full-data VI,8,-0.80118455624,-0.892041721,-0.7131108555,TRUE,subset NUTS,8,-0.545506952015,-0.752620402,-0.341948516,TRUE,TRUE,TRUE
threshold,3,discrim_any,full-data VI,3,-0.234772450811,-0.3517934795,-0.1210044255,TRUE,subset NUTS,3,0.255877791726005,0.0344128372,0.4900640445,TRUE,FALSE,TRUE
threshold,5,discrim_any,full-data VI,5,-0.1628501933311,-0.240731794,-0.0808765586,TRUE,subset NUTS,5,0.234027593299795,0.0267248066,0.4478609935,TRUE,FALSE,TRUE
threshold,4,discrim_any,full-data VI,4,-0.34828318548,-0.4224341705,-0.2709698435,TRUE,subset NUTS,4,0.124474325465645,-0.1546983865,0.4012979645,FALSE,FALSE,FALSE
